NAME,population_total,white/non_hispanic,gini_index,median_income,poverty_denominator,poverty_count,transit_commuters,state,county,tract,GEOID,year,%_white_nonhisp,poverty_rate
"Census Tract 260.04, San Francisco County, California",5015.0,528.0,0.4582,65862.0,5015.0,456.0,1099.0,06,075,026004,06075026004,2015,0.10528414755732801,0.0909272183449651
"Census Tract 301.01, San Francisco County, California",4895.0,2915.0,0.4959,79071.0,4735.0,583.0,1326.0,06,075,030101,06075030101,2015,0.5955056179775281,0.12312565997888067
"Census Tract 330, San Francisco County, California",8227.0,2891.0,0.4607,82527.0,8162.0,1088.0,1093.0,06,075,033000,06075033000,2015,0.3514039139418986,0.1333006616025484
"Census Tract 254.03, San Francisco County, California",5154.0,1168.0,0.4495,73159.0,5128.0,611.0,1018.0,06,075,025403,06075025403,2015,0.22662010089251067,0.11914976599063963
"Census Tract 264.01, San Francisco County, California",3937.0,137.0,0.4317,46150.0,3937.0,501.0,624.0,06,075,026401,06075026401,2015,0.034798069596139194,0.12725425450850902
"Census Tract 302.02, San Francisco County, California",4467.0,2333.0,0.4401,96547.0,4467.0,491.0,1153.0,06,075,030202,06075030202,2015,0.5222744571300649,0.10991717036042087
"Census Tract 353, San Francisco County, California",7395.0,1731.0,0.4555,73669.0,7373.0,625.0,721.0,06,075,035300,06075035300,2015,0.23407707910750508,0.08476875084768751
"Census Tract 476, San Francisco County, California",5451.0,2284.0,0.4319,74392.0,5451.0,378.0,871.0,06,075,047600,06075047600,2015,0.41900568702990276,0.0693450742982939
"Census Tract 106, San Francisco County, California",3604.0,1213.0,0.5699,34808.0,3604.0,880.0,520.0,06,075,010600,06075010600,2015,0.3365704772475028,0.244173140954495
"Census Tract 610, San Francisco County, California",4587.0,576.0,0.34,108977.0,4587.0,179.0,516.0,06,075,061000,06075061000,2015,0.12557226945716154,0.03902332679311096
"Census Tract 203, San Francisco County, California",3030.0,1941.0,0.4464,102069.0,3030.0,346.0,998.0,06,075,020300,06075020300,2015,0.6405940594059406,0.11419141914191419
"Census Tract 207, San Francisco County, California",5553.0,3642.0,0.4827,127798.0,5553.0,673.0,1831.0,06,075,020700,06075020700,2015,0.655861696380335,0.12119575004502071
"Census Tract 208, San Francisco County, California",6302.0,2051.0,0.5444,67295.0,6302.0,972.0,1787.0,06,075,020800,06075020800,2015,0.32545223738495715,0.15423675023801967
"Census Tract 211, San Francisco County, California",3984.0,2831.0,0.472,118221.0,3966.0,248.0,757.0,06,075,021100,06075021100,2015,0.7105923694779116,0.06253151790216843
"Census Tract 212, San Francisco County, California",2851.0,2193.0,0.4523,130266.0,2839.0,197.0,489.0,06,075,021200,06075021200,2015,0.7692037881445107,0.06939063050369848
"Census Tract 213, San Francisco County, California",2661.0,1933.0,0.442,171184.0,2661.0,84.0,604.0,06,075,021300,06075021300,2015,0.7264186396091695,0.03156708004509583
"Census Tract 107, San Francisco County, California",5302.0,1133.0,0.6054,22260.0,5302.0,1379.0,796.0,06,075,010700,06075010700,2015,0.21369294605809128,0.2600905318747642
"Census Tract 162, San Francisco County, California",2733.0,1690.0,0.4975,69875.0,2733.0,254.0,846.0,06,075,016200,06075016200,2015,0.6183680936699597,0.092938163190633
"Census Tract 169, San Francisco County, California",2987.0,2099.0,0.4403,101371.0,2954.0,231.0,991.0,06,075,016900,06075016900,2015,0.7027117509206562,0.07819905213270142
"Census Tract 252, San Francisco County, California",5948.0,3110.0,0.4833,128009.0,5948.0,483.0,638.0,06,075,025200,06075025200,2015,0.5228648285137861,0.08120376597175522
"Census Tract 101, San Francisco County, California",3798.0,1787.0,0.5391,61442.0,3779.0,589.0,478.0,06,075,010100,06075010100,2015,0.47051079515534494,0.15586133897856574
"Census Tract 112, San Francisco County, California",3281.0,1740.0,0.6647,78690.0,3281.0,393.0,671.0,06,075,011200,06075011200,2015,0.5303261200853399,0.1197805547089302
"Census Tract 134, San Francisco County, California",4026.0,3169.0,0.5162,125409.0,3858.0,247.0,601.0,06,075,013400,06075013400,2015,0.7871336313959265,0.06402280974598237
"Census Tract 151, San Francisco County, California",2175.0,1213.0,0.411,82255.0,2141.0,144.0,395.0,06,075,015100,06075015100,2015,0.5577011494252874,0.06725829051844932
"Census Tract 157, San Francisco County, California",8403.0,4111.0,0.4587,88368.0,5878.0,568.0,1456.0,06,075,015700,06075015700,2015,0.48923003689158634,0.09663150731541341
