"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"3520","240 6th St","240 6th St","San Francisco","94103","3731004","Own","49","Recreation And Parks",,"-122.40679770699995","37.778959617000055","6",
"3342","500 Pine Rooftop Park","500 Pine St","San Francisco","94108","0258042","Own","49","Recreation And Parks",,"-122.40458094299998","37.79187874400003","3",
"3339","900 Innes Ave","900 Innes Ave","San Francisco","94124","4629A010","Own","49","Recreation And Parks",,"-122.37578143499996","37.73218698100004","10",
"10","Adam Rogers Park Bathrooms","45 George Ct","San Francisco","94124","4700055","Own","49","Recreation And Parks",,"-122.38370521099995","37.73087956100005","10",
"108","Alamo Square Bathrooms","1081 Fulton St","San Francisco","94117","0799001","Own","49","Recreation And Parks","500","-122.43433764499997","37.776069505000066","5",
"112","Alice Chalmers Clubhouse","670 Brunswick St","San Francisco","94112","6474001","Own","49","Recreation And Parks","2,505","-122.447003258","37.709531742000024","11",
"114","Alioto Gazebo","490 Capp St","San Francisco","94110","3595016","Own","49","Recreation And Parks",,"-122.41825073899997","37.75891530900003","9",
"116","Alta Plaza Bathrooms","2599 Jackson St","San Francisco","94115","0607001","Own","49","Recreation And Parks","432","-122.43816191599996","37.791239380000036","2",
"117","Alta Plaza Maintenance Facilities","2599 Jackson St","San Francisco","94115","0607001","Own","49","Recreation And Parks","1,200","-122.43822817099999","37.79120498700007","2",
"123","Anglers Lodge","1232 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","2,196","-122.496615212","37.76800921800003","4",
"124","Anglers Lodge Maint Bldg","1232 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,130","-122.49736905699996","37.768018436000034","4",
"125","Anglers Lodge Parking Lot Trailer","Angler's Lodge","San Francisco","94121","1263011","Own","49","Recreation And Parks","1,440","-122.49624885099996","37.76814715300003","4",
"129","Aptos Clubhouse","139 Aptos Ave","San Francisco","94127","3266A001","Own","49","Recreation And Parks",,"-122.46601428999998","37.72852776800005","7",
"3025","Aptos Maintenance Facility","139 Aptos Ave","San Francisco","94127","3266A001","Own","49","Recreation And Parks",,"-122.46644188699997","37.72912068900007","7",
"132","Aquavista & Skyview Pump Station","2 Aquavista Way","San Francisco","94131","2634A003","Own","49","Recreation And Parks",,"-122.44991424099999","37.75102742400003","7",
"89","Arboretum Bookstore","1199 09TH AVE","San Francisco","94122","1263011","Own","49","Recreation And Parks","170","-122.47037794899995","37.768998271000044","7",
"133","Arboretum Gardeners Compound","1199 09th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.47109549199996","37.76623084600004","7",
"134","Arboretum North Bathroom","1199 09th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.47087744199996","37.76889158200004","7",
"135","Arboretum South Bathroom","1199 09th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46834362099997","37.76684125400004","7",
"137","Argonne Clubhouse","455 18th Ave","San Francisco","94121","1526007","Own","49","Recreation And Parks","1,000","-122.47766661199995","37.77958605300006","1",
"146","Auto Shop","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","6,050","-122.46107817999996","37.76870197900007","7",
"155","Balboa Park Community Pool","51 Havelock St","San Francisco","94112","3179011","Own","49","Recreation And Parks","19,925","-122.44318335599996","37.72634633900003","11",
"156","Balboa Park East Bathrooms","51 Havelock St","San Francisco","94112","3179011","Own","49","Recreation And Parks",,"-122.44425062899995","37.72518273700007","11",
"157","Balboa Park West Bathrooms","51 Havelock St","San Francisco","94112","3179011","Own","49","Recreation And Parks",,"-122.44425062899995","37.72518273700007","11",
"160","Ball Diamond 1 Grandstand","799 Moscow St","San Francisco","94112","6284A001","Own","49","Recreation And Parks",,"-122.43185752","37.714979018000065","11",
"3026","Ball Diamond 2 Grandstand","799 Moscow St","San Francisco","94112","6284A001","Own","49","Recreation And Parks","23,128","-122.43044229599997","37.71285819700006","11",
"161","Bandshell-Spreckels Temple of Music","50 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46854445899999","37.76988405800006","7",
"162","Bandstand Public Restrooms","50 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,276","-122.46874093999998","37.76974555400005","7",
"168","Bay View Bathrooms","5701 03rd St","San Francisco","94124","5420001","Own","49","Recreation And Parks","500","-122.393033162","37.72555868400008","10",
"175","Beach Chalet","1000 Great Hwy","San Francisco","94117","1263011","Own","49","Recreation And Parks","15,639","-122.51020566699998","37.76946017800003","4",
"12","BEACH CHALET Shed","1000 Great Hwy","San Francisco","94121","1263011","Own","49","Recreation And Parks","156","-122.51005211699999","37.76904896600007","4",
